solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
boussinesq,Boussinesq,30.0,0.6,0.008732072456419075,4.858571293154718,12.25128450145607,-0.014877714131218411,,7.383981135844932
boussinesq,Boussinesq,60.0,1.8,0.0014120427653823812,5.644239355932229,19.755444808870106,-0.013245313217319143,,14.109793410172495
boussinesq,Boussinesq,90.0,3.0,0.00022833809319570267,5.771287878404259,28.759188046886358,-0.008296852081197237,,22.9876718303889
boussinesq,Boussinesq,120.0,4.2,3.6924003754961634e-05,5.791832595186402,41.81079817838387,-0.0038098756732516392,,36.01892865919371
boussinesq,Boussinesq,150.0,5.4,5.9708946262162505e-06,5.79515483161338,59.24144878109429,-0.0015007178070352012,,53.446287978586284
boussinesq,Boussinesq,180.0,7.2,9.655392338459024e-07,5.795692062750497,85.98732656625772,-0.00047905274786774754,,80.19163353796799
boussinesq,Boussinesq,210.0,6.0,1.56135062127305e-07,5.7957789371259345,79.17279752781616,-0.00016968281590301615,,73.37701843455517
boussinesq,Boussinesq,240.0,4.8,2.5248232304875275e-08,5.795792985375241,67.63440323013882,-6.939330584909698e-05,,61.838610219515346
boussinesq,Boussinesq,270.0,3.6,4.08283122510511e-09,5.795795257084558,54.53801028865247,-3.333969308805251e-05,,48.74221502748508
boussinesq,Boussinesq,300.0,2.4,6.602237476727169e-10,5.795795624437357,41.72788352096472,-1.9389335473185554e-05,,35.932087895867134
boussinesq,Boussinesq,330.0,1.2,1.0676336614778849e-10,5.795795683840962,30.325658756532874,-1.4259018408679935e-05,,24.529863072585147
boussinesq,Boussinesq,360.0,0.6,2.225573325631558e-11,5.795795692911272,25.78979622036086,-1.2205926864794492e-05,,19.994000527427332
boussinesq,Boussinesq,390.0,0.0,3.598273679017439e-12,5.795795694913801,22.908867730200946,-0.002637958805635776,,17.113072035283547
boussinesq,Boussinesq,420.0,0.0,5.824460913572694e-13,5.795795695237493,21.330564207310367,-0.005173447593268321,,15.534768512072292
boussinesq,Boussinesq,450.0,0.0,4.328825298216544e-12,5.795795695289405,19.958556840659142,-0.007378051061878388,,14.16276114536541
boussinesq,Boussinesq,480.0,0.0,4.189928404230159e-12,5.795795695168306,18.782372320201944,-0.00926838440607991,,12.986576625029446
boussinesq,Boussinesq,510.0,0.0,1.3300336831889581e-11,5.795795693872466,17.777460858187503,-0.010883735198144784,,11.981665164301738
boussinesq,Boussinesq,540.0,0.0,2.150983391402406e-12,5.795795695069141,16.9189909875661,-0.012263894322429358,,11.12319529249481
boussinesq,Boussinesq,570.0,0.0,3.483933141978923e-13,5.795795695262615,16.184800993515534,-0.01344440026292748,,10.38900529825257
boussinesq,Boussinesq,600.0,0.0,5.60191892873263e-14,5.795795695293996,15.555918071522331,-0.014455693550751825,,9.76012237622828
boussinesq,Boussinesq,630.0,0.0,9.208633855450899e-15,5.79579569529902,15.016349905998583,-0.015323443228738576,,9.220554210699554
boussinesq,Boussinesq,660.0,0.0,1.5347723092418166e-15,5.7957956952998435,14.552681204829156,-0.0160691893055942,,8.756885509529312
boussinesq,Boussinesq,690.0,0.0,0.0,5.795795695300009,14.1536589836737,-0.016711005137416635,,8.357863288373693
boussinesq,Boussinesq,720.0,0.0,0.0,5.795795695300009,13.809824686413656,-0.017264085835331677,,8.014028991113648
